Country,Item Type,Order Date,Order ID,Order Priority,Region,Sales Channel,Ship Date,Total Cost,Total Revenue,Units Sold
Tuvalu,Baby Food,28/05/2010,669165933,H,Australia and Oceania,Offline,27/06/2010,1582243.5,2533654,9925
Grenada,Cereal,22/08/2012,963881480,C,Central America and the Caribbean,Online,15/09/2012,328376.4375,576782.8125,2804
Russia,Office Supplies,02/05/2014,341417157,L,Europe,Offline,08/05/2014,933903.8125,1158502.625,1779
Sao Tome and Principe,Fruits,20/06/2014,514321792,C,Sub-Saharan Africa,Online,05/07/2014,56065.83984,75591.65625,8102
Rwanda,Office Supplies,01/02/2013,115456712,L,Sub-Saharan Africa,Offline,06/02/2013,2657347.5,3296425,5062
Solomon Islands,Baby Food,04/02/2015,547995746,C,Australia and Oceania,Online,21/02/2015,474115.0938,759202.75,2974
Angola,Household,23/04/2011,135425221,M,India,Offline,27/04/2011,2104135,2798046.5,4187
Republic of the Congo,Personal Care,14/07/2015,770463311,M,Sub-Saharan Africa,Offline,25/08/2015,343986.9063,496101.0938,6070
Senegal,Cereal,18/04/2014,616607081,H,India,Online,30/05/2014,772106.25,1356180.125,6593
Kyrgyzstan,Vegetables,24/06/2011,814711606,H,Asia,Online,12/07/2011,11275.32031,19103.43945,124
Cape Verde,Clothes,02/08/2014,939825713,H,Sub-Saharan Africa,Offline,19/08/2014,149381.125,455479.0313,4168
Bangladesh,Clothes,13/01/2017,187310731,L,Asia,Online,01/03/2017,296145.9063,902980.625,8263
Honduras,Household,08/02/2017,522840487,H,Central America and the Caribbean,Offline,13/02/2017,4509794,5997055,8974
Mongolia,Personal Care,19/02/2014,832401311,C,Asia,Offline,23/02/2014,277739.6563,400558.7188,4901
Bulgaria,Clothes,23/04/2012,972292029,M,Europe,Online,03/06/2012,59960.32031,182825.4375,1673
Sri Lanka,Cosmetics,19/11/2016,419123971,M,Asia,Offline,18/12/2016,1830670.125,3039414.5,6952
Cameroon,Beverages,01/04/2015,519820964,C,Sub-Saharan Africa,Offline,18/04/2015,172619.7031,257653.5,5430
Turkmenistan,Household,30/12/2010,441619336,L,Asia,Offline,20/01/2011,1924728.25,2559474,3830
Norway,Baby Food,14/05/2014,819028031,L,Europe,Online,28/06/2014,1187679,1901836,7450
Portugal,Baby Food,31/07/2015,860673511,H,Europe,Online,03/09/2015,202941.6563,324971.4375,1273
Honduras,Snacks,30/06/2016,795490682,L,Central America and the Caribbean,Online,26/07/2016,216804,339490.5,2225
New Zealand,Fruits,08/09/2014,142278373,H,Australia and Oceania,Online,04/10/2014,15134.04004,20404.71094,2187
Moldova,Personal Care,07/05/2016,740147912,L,Europe,Online,10/05/2016,287316.9063,414371.0938,5070
France,Cosmetics,22/05/2017,898523128,H,Europe,Online,05/06/2017,477943.9375,793518,1815
Kiribati,Fruits,13/10/2014,347140347,M,Australia and Oceania,Online,10/11/2014,37354.16016,50363.33984,5398
Mali,Fruits,07/05/2010,686048400,L,Sub-Saharan Africa,Online,10/05/2010,40288.23828,54319.26172,5822
Norway,Beverages,18/07/2014,435608613,C,Europe,Offline,30/07/2014,162891.9531,243133.7969,5124
The Gambia,Household,26/05/2012,886494815,L,Sub-Saharan Africa,Offline,09/06/2012,1191019.75,1583799.875,2370
Switzerland,Cosmetics,17/09/2012,249693334,M,Europe,Offline,20/10/2012,2280701.25,3786589.25,8661
South Sudan,Personal Care,29/12/2013,406502997,C,Sub-Saharan Africa,Offline,28/01/2014,120423.75,173676.25,2125
Australia,Office Supplies,27/10/2015,158535134,C,Australia and Oceania,Online,25/11/2015,1534983,1904138,2924
Myanmar,Household,16/01/2015,177713572,H,Asia,Offline,01/03/2015,4145955,5513227.5,8250
Djibouti,Snacks,25/02/2017,756274640,M,Sub-Saharan Africa,Online,25/02/2017,713942.875,1117953.625,7327
Costa Rica,Personal Care,08/05/2017,456767165,L,Central America and the Caribbean,Offline,21/05/2017,363198.0313,523807.5625,6409
Syria,Fruits,22/11/2011,162052476,L,Middle East and North Africa,Online,03/12/2011,26185.2793,35304.71875,3784
The Gambia,Meat,14/01/2017,825304400,M,Sub-Saharan Africa,Online,23/01/2017,1738477.25,2011149.625,4767
Brunei,Office Supplies,01/04/2012,320009267,L,Asia,Online,08/05/2012,3521431.75,4368316.5,6708
Bulgaria,Office Supplies,16/02/2012,189965903,M,Europe,Online,28/02/2012,2093015.5,2596374.25,3987
Niger,Personal Care,11/03/2017,699285638,H,Sub-Saharan Africa,Online,28/03/2017,170860.0469,246415.9531,3015
Azerbaijan,Cosmetics,06/02/2010,382392299,M,Middle East and North Africa,Online,25/02/2010,1904929.25,3162704.75,7234
The Gambia,Cereal,07/06/2012,994022214,H,Sub-Saharan Africa,Offline,08/06/2012,247921.875,435466.9063,2117
